"","ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ERR3","ERR3",15.6880292525785,-7.4638323031592,1.24701963751444,-5.98533662070962,2.15942786431062e-09,1.14722037079637e-07
"SNR37","SNR37",72.3723031596987,1.36612019948085,0.250818834067573,5.44664121639605,5.13298535597557e-08,2.13163483409774e-06
"SNR30","SNR30",499.314080210592,1.57356755253442,0.10561799307545,14.898669314899,3.36208816753637e-50,2.83231913199457e-47
"RDN37-1","RDN37-1",3414.15083837461,2.47993523414746,0.0913752592440577,27.1401170805295,3.31232425246256e-162,9.76638805838586e-159
"RDN37-2","RDN37-2",3414.15083837461,2.47993523414746,0.0913752592440577,27.1401170805295,3.31232425246256e-162,9.76638805838586e-159
"SNR83","SNR83",135.170745594879,1.25161148932861,0.192092114925446,6.51568384165267,7.23592393057882e-11,4.63806993680688e-09
"SNR19","SNR19",120.433110710233,1.57438049099079,0.191255665502242,8.23181099946204,1.8440404467895e-16,1.72608039916154e-14
"AAD14","AAD14",144.482480009029,-10.6647441345287,1.18629436807727,-8.98996439797139,2.47310530782719e-19,2.85958862750136e-17
"THI12","THI12",9.4240241067211,-6.73225614438716,1.3096613886387,-5.14045554277574,2.74073168576493e-07,1.01013092193474e-05
"SNZ2","SNZ2",63.6619453068392,-9.48239000843805,1.196478971219,-7.92524585599457,2.27695381038908e-15,2.03442373028249e-13
"SNO2","SNO2",32.2657319312475,-8.5037211604927,1.21310436126213,-7.0098842540186,2.38515360255802e-12,1.71527448710789e-10
"DDI2","DDI2",15.348561676151,-7.42825642049672,1.24988589376394,-5.94314765656494,2.79600362717855e-09,1.38554902432537e-07
"COS1","COS1",336.652634193433,-2.74727364294903,0.461880988430761,-5.94801195927739,2.7141876862723e-09,1.3564037954193e-07
"YRF1-6","YRF1-6",1157.58813986277,-13.6666849328016,1.18080675807474,-11.5740233017337,5.58031393818469e-31,2.19380741956501e-28
"COS10","COS10",196.90336508049,-11.1114504841695,1.18448924178787,-9.38079476973369,6.54772853253051e-21,8.89424662274061e-19
"PAU6","PAU6",11.4358118064417,-7.00206806215889,1.27264084530234,-5.50199853164026,3.75510083166392e-08,1.60462533364653e-06
"HPF1","HPF1",914.192103987408,-1.60643549946576,0.0818706560346865,-19.6216272993483,1.01065590351446e-85,1.19196757260495e-82
"HXT11","HXT11",39.5769321616331,-5.09257119619248,0.606979470884105,-8.39002213497406,4.86050649524535e-17,4.69875521351833e-15
"IMA2","IMA2",44.8629565529014,-8.97941571588828,1.20462853630426,-7.45409513827116,9.04866873920563e-14,7.30958898015008e-12
"YOL162W","YOL162W",66.7645343341446,1.63567992000515,0.264059393594226,6.19436369121815,5.8520959542712e-10,3.28664855641308e-08
"YOL163W","YOL163W",65.6802732564064,1.81736463522011,0.276868047340054,6.56401001372323,5.2379681744386e-11,3.43203314718493e-09
"AAD15","AAD15",5.10968876948372,-5.845743851805,1.38357168400166,-4.22511093526975,2.38823100378119e-05,0.000599293541672242
"FDH1","FDH1",29.6043396412472,1.79518614078515,0.387405703905752,4.63386605485262,3.58899262016071e-06,0.000110230674380665
"YOR389W","YOR389W",124.866812351961,-5.76561835826504,0.418014883473089,-13.7928542408855,2.81401939224586e-43,1.84380803956376e-40
"FEX1","FEX1",151.514464155387,-10.7322121867697,1.18622137285287,-9.04739404665982,1.46420854946686e-19,1.72688756324121e-17
"ERR1","ERR1",11.6020897170909,-7.02839557620826,1.2692389154279,-5.53748824652036,3.06840278969973e-08,1.34032379635995e-06
"YRF1-8","YRF1-8",751.806824086606,-13.0445939537962,1.18138999158593,-11.0417339292715,2.40349691975734e-28,5.4513158983881e-26
"OYE3","OYE3",55.5305677594217,1.69838980666947,0.297333583780883,5.71206852947052,1.11611122631605e-08,5.26536632126858e-07
"YPL277C","YPL277C",66.0355865965649,-1.66880837745485,0.263119492771925,-6.3423973643085,2.26216916158951e-10,1.33400115458933e-08
"FEX2","FEX2",127.582467104441,-3.03790316441512,0.492042372519529,-6.17406819835328,6.65548100281502e-10,3.66797864239254e-08
"HSP32","HSP32",7.04475244263805,-6.3060818740423,1.32200489576615,-4.77008965264663,1.84143944340346e-06,6.06646279203921e-05
"ERR2","ERR2",11.6020897170909,-7.02839557620826,1.2692389154279,-5.53748824652036,3.06840278969973e-08,1.34032379635995e-06
"YPR078C","YPR078C",90.4023729396927,1.17370435941656,0.209286230603173,5.60812986135729,2.04524546428119e-08,9.57207341497316e-07
"YPR202W","YPR202W",143.162606785977,-10.6513796263714,1.18636467577377,-8.97816653165636,2.75316148845112e-19,3.12219101873005e-17
"YPR203W","YPR203W",16.8702388944142,-7.56525755449693,1.24121961901097,-6.09501931698847,1.09424237104622e-09,5.97476598338847e-08
"YPR204W","YPR204W",2080.22275322979,-6.60611545553461,0.595795369573006,-11.0878932480947,1.43630560304621e-28,4.03328292436358e-26
