gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
HUR1,48.17,48.17,41.88,49.2,44.69,39.7
SUA5,35.13,35.13,32.73,33.7,37.01,38.14
SPO74,1.41,1.41,1.62,1.57,1.87,1.52
ROK1,38.43,38.43,37.47,42.87,40.46,42.71
NUP49,50.77,50.77,47.9,56.46,51.3,50.87
XRN1,17.73,17.73,16.89,18.53,20.12,22.21
BUD13,11.13,11.13,12.13,11.8,12.4,11.17
SAE2,4.68,4.68,3.7,4.51,4.72,5.34
YGL176C,9.01,9.01,8.71,8.29,9.59,9.39
MPT5,18.13,18.13,16.62,17.87,19.82,18.16
TOS3,14.83,14.83,12.22,14.24,13.96,13.86
ATG1,2.88,2.88,2.58,3.99,4.11,4.09
GTS1,33.06,33.06,29.98,34.11,35.11,38.96
MND1,1.06,1.06,0.97,0.61,1.41,1.22
STR3,1.95,1.95,1.96,2.83,2.95,4.38
YGL185C,12.36,12.36,12.09,12.49,12.81,14.63
TPN1,45.68,45.68,42.97,38.84,41.02,43.73
COX4,72.48,72.48,84.59,62.51,79.01,72.72
YGL188C-A,0,0,0,0,0,0
RPS26A,8793.85,8793.85,9824.53,8311.45,8026.95,8487.7
CDC55,22.05,22.05,19.97,21.31,22.94,23.42
COX13,233.64,233.64,255.93,177.51,231.56,234.48
IME4,20.35,20.35,20.49,22.67,22.18,23.53
YGL193C,16.54,16.54,15.25,19,22.53,11.08
HOS2,7.48,7.48,8.1,8.7,7.37,8.16
YGL194C-A,55.35,55.35,34.32,51.27,72.56,30.47
GCN1,8.28,8.28,7.09,8.25,9.24,9.74
DSD1,25.35,25.35,23.33,23.48,21.51,24.44
MDS3,7.32,7.32,6.97,8.09,8.38,8.99
YIP4,110.64,110.64,111.79,136.58,117.24,128.1
EMP24,331.73,331.73,327.2,327.93,332.01,342.07
MCM6,14.24,14.24,12.96,14.46,15.36,16.38
ARO8,132.74,132.74,129.69,149.04,145.62,143.1
KEX1,21.51,21.51,22.55,21.83,22.72,23.93
YGL204C,13.37,13.37,12.11,12.27,13.34,8.66
POX1,1.98,1.98,1.84,2.03,2.44,1.97
CHC1,11.07,11.07,9.7,9.84,11.16,12.08
SPT16,31.67,31.67,29.25,31.01,33.29,34.67
SIP2,10.25,10.25,11.87,12.16,12.56,10.57
MIG2,22.08,22.08,16.91,30.01,29.7,34.81
YPT32,44.08,44.08,43.77,46.78,48.92,51.3
NCS6,44.89,44.89,44.7,42.12,43.52,42.53
VAM7,11.16,11.16,10.73,12.6,11.96,13.29
SKI8,41.6,41.6,43.22,39.22,47.34,44.53
CLG1,79.4,79.4,75.65,85.27,94.18,93.42
KIP3,5.99,5.99,5.52,7.13,7.31,7.96
MDM34,17.83,17.83,18.28,19.22,19,21.31
BOL2,116.82,116.82,95.69,132.18,141.96,102.99
NIF3,67.36,67.36,71.63,66.09,75.47,75.28
EDC1,14.98,14.98,16.07,15.79,16.44,18.28
COG1,19.18,19.18,18.43,19.43,20.48,20.27
SDT1,26.02,26.02,26.24,32.71,34.23,34.57
VRG4,181.21,181.21,182.92,185.9,194.66,187.56
OST5,557.59,557.59,415.1,399.15,562.31,454.09
MTC3,66.98,66.98,65.41,102.23,58.08,78.86
VID30,5.72,5.72,5.87,6.07,6.38,6.76
SHE10,40.67,40.67,42.16,43.04,44.98,46.77
SAP4,2.91,2.91,2.5,2.78,2.9,3.19
YGL230C,3.63,3.63,7.12,8.07,6.88,8.03
EMC4,176.74,176.74,160.18,166.65,174.62,170.78
TAN1,59.6,59.6,59.17,58.48,62.71,60.66
SEC15,9.1,9.1,9.31,9.98,10.83,11.81
ADE57,222.19,222.19,215.15,212.04,234.4,240.08
YGL235W,3.74,3.74,1.35,3.47,1.03,1.4
MTO1,13.88,13.88,11.12,16.47,15.76,15.67
HAP2,9.75,9.75,9.08,13.6,12.01,12.85
CSE1,28.11,28.11,25.96,27.36,29.65,32.23
DOC1,7.43,7.43,7.94,8.55,10.31,11.5
KAP114,6.78,6.78,7.06,6.73,6.95,7.76
ANK1,48.34,48.34,48.83,50.55,55.83,48.62
TAD1,19.85,19.85,15.52,18.35,18.59,20.02
RTF1,50.8,50.8,46.2,49.92,50.25,50.84
GUS1,124.62,124.62,124.17,124.96,135.56,137.63
RAI1,59.82,59.82,53.69,59.63,64.9,57.06
BRR6,31.23,31.23,25.83,34.17,29.25,29.76
PDE1,31.85,31.85,31.07,37.59,34.96,37.29
ZIP2,3.69,3.69,3.09,2.99,3.24,3.55
RMR1,15.11,15.11,14.18,13.21,15.45,13.08
HFM1,4.58,4.58,4.3,4.28,4.3,4.97
RTG2,44.96,44.96,42.07,50.33,47.67,47.64
HXK2,291.43,291.43,294.37,301.35,308.27,362.61
FZF1,17.81,17.81,14.02,20.83,16.61,19.92
ZRT1,94.18,94.18,96.57,70.35,83.54,81.98
ADH4,37.06,37.06,35.92,39.83,44.64,43.02
MNT2,26.63,26.63,25.55,25.13,26.8,28.29
VEL1,4.79,4.79,4.66,5.97,7.62,7.29
YGL258W-A,4.82,4.82,0,0,0,0
YPS5,3.33,3.33,2.81,0,0,0
YGL260W,0,0,0,0,0,0
PAU11,0.33,0.33,0.72,0,0,0
YGL262W,1.96,1.96,1.73,0,0,0.12
COS12,11.55,11.55,12.89,17.07,19.29,19.27
EFM5,70.06,70.06,69.98,106.18,106.79,108.79
SWC4,16.56,16.56,15.33,16.39,17.45,18.93
CUL3,8.93,8.93,8.16,8.59,10.56,10.67
PEX31,11.97,11.97,11.9,13.54,13.62,12.69
TFG2,50.44,50.44,49.7,59.91,58.02,63.62
PRP18,12.29,12.29,11.36,15.33,18.08,15.78
ECT1,69.31,69.31,63.78,80.56,76.02,73.38
STF2,25.65,25.65,55.52,48.91,44.94,60.42
SEC9,27.16,27.16,26,27.78,29.42,31.03
NMA2,13.27,13.27,12.96,16.68,14.32,17.74
MCY1,29.1,29.1,28.52,32.58,30.86,32.09
SNU71,15.13,15.13,13.39,16.89,17.38,18.26
MSB2,19.34,19.34,18.45,17.93,19.97,21.5
EAT1,11.09,11.09,11.6,12.59,12.64,15.39
YGR016C-A,0,0,0,0,0,0
YGR016W,11.09,11.09,9.82,8.24,11.72,10.13
YGR017W,44.75,44.75,42.66,48.27,53.95,46.31
YGR018C,27.06,27.06,11.75,26.67,12.72,35.18
UGA1,22.16,22.16,20.46,25.68,24.28,27.67
VMA7,458.34,458.34,399.13,449.2,451.01,433.45
DPC29,22.41,22.41,20.63,21.87,19.53,18.83
MTL1,5.83,5.83,4.69,5.62,6.51,6.18
THG1,82.69,82.69,86.79,94.96,92.76,91.52
YGR025W,0,0,0,0,0,0.76
YGR026W,75.73,75.73,83.01,76.33,77.43,85.34
RPS25A,18373.4,18373.4,19433.75,16361.19,15457.86,16405.68
YGR027W-A,0,0,0,0,0,0
YGR027W-B,58,58,61.81,64.72,66.4,73.52
MSP1,17.94,17.94,19.52,19.94,20.8,20.43
ERV1,81.06,81.06,72,75.89,82.69,82.24
POP6,38.96,38.96,36.77,36.32,47.21,37.37
NAG1,0,0,0,0,0,0
IMO32,37.38,37.38,30.9,38.54,40.71,39.04
GSC2,18.97,18.97,20.73,18.07,20.57,19.61
TIM21,39.1,39.1,37.49,36.48,41.98,38.73
RPL26B,3691.04,3691.04,4130.08,3159.21,3155.9,3459.91
YGR035C,129.48,129.48,106.84,139.24,136.75,136.26
YGR035W-A,47.3,47.3,64.13,41.26,47.53,110.61
CAX4,41.78,41.78,42.7,44.3,49.04,45.32
ACB1,936.48,936.48,936.04,829.72,1046.58,1011.6
YGR038C-A,0,0,0,0,0,0
YGR038C-B,14.99,14.99,11.89,13.88,17.51,16.51
ORM1,38.51,38.51,35.75,39.07,33.91,38.63
YGR039W,6.36,6.36,11.62,7.86,9.13,3.91
KSS1,20.26,20.26,21.05,22.06,22.36,22.93
BUD9,15.45,15.45,13.24,14.4,17.27,16.87
MTE1,20.95,20.95,20.39,19.92,21.85,22.01
NQM1,6.95,6.95,5.03,7.79,9.67,11.15
RME1,33.95,33.95,31.98,33.21,33.4,31.78
YGR045C,1.66,1.66,1.81,0.7,1.35,1.69
TAM41,30.53,30.53,28.71,31.32,37.9,37.33
